country-year,Sum of  gdp_for_year ($) 
Guatemala2014,704667887016
Oman2010,703708712616
Cuba2007,703246800000
Croatia2013,697030272228
Puerto Rico1999,694092000000
Luxembourg2015,693413943180
Uzbekistan2013,692285441532
Croatia2014,691554225672
Uruguay2013,690374800212
Bulgaria2011,689020974048
Slovakia2004,686886421656
Uruguay2014,686832157032
Belarus2010,686669889228
Ireland1994,685992445224
Kazakhstan2005,685484060808
Chile1994,684101103552
Bulgaria2014,680783882784
Luxembourg2012,680135541444
Croatia2012,678785703300
Greece1986,676555124640
Portugal1988,676233568248
New Zealand1998,674732354340
Ireland1992,671826077988
Luxembourg2008,670196238468
Colombia1993,669630458628
Bulgaria2013,669105048864
Slovenia2008,667078189536
New Zealand1994,661849929792
Bulgaria2008,652909661976
Philippines1993,652417007436
Panama2015,651788670000
Puerto Rico1998,649036800000
Bulgaria2012,646836268068
New Zealand2001,646469111004
Guatemala2013,646212707460
Hungary2001,645855780792
Uruguay2015,639291650664
Luxembourg2010,638549721744
Philippines1992,635716139148
Cuba2006,632913600000
New Zealand2000,631474114080
Ukraine1994,630594661788
Ireland1993,629763038028
Singapore1992,625876979748
Bulgaria2009,622613776920
Uzbekistan2012,621858880056
Luxembourg2009,616446518472
Slovenia2011,615489504216
Uruguay2012,615172681392
Ecuador2007,612093324000
Luxembourg2007,610657612920
Bulgaria2010,607320698520
Costa Rica2014,606933238056
Thailand1987,606425264352
Croatia2006,605442934776
Guatemala2012,604661458332
Slovenia2009,602937525984
Ukraine1997,601804797504
Ukraine2003,601595439456
Israel1988,600945214836
Panama2014,599057572800
Slovenia2014,598859140020
Israel1989,598577207892
Ireland1991,598165542396
Costa Rica2013,596941057344
Croatia2015,593106163332
Ireland1990,592376175072
Chile1993,591573277560
Colombia1992,591355024260
Serbia2008,591114312636
Belarus2009,590514285720
Hungary1999,590045212692
Hungary1998,585245602068
Lithuania2014,582196460652
Oman2009,580659557868
Ukraine1995,578566418136
Portugal1987,578252014236
Puerto Rico1997,578244468000
Slovenia2013,577395083112
Slovenia2007,577376258412
Slovenia2010,576163280940
Kuwait2003,574510067112
Lithuania2008,574206613788
Greece1985,573850211700
Guatemala2011,571858093356
Czech Republic1994,570656095092
Hungary2000,567727486644
Hungary1997,567482167068
Ecuador2006,561624528000
Slovakia2003,560781209928
New Zealand1993,560544217692
Hungary1996,559917561276
Costa Rica2012,557677539432
Serbia2011,557600744004
Hungary1995,557026998000
Lithuania2013,557008084500
Slovenia2012,556233633192
Romania2002,554094690672
Chile1992,551571930708
Uzbekistan2011,550982294268
Panama2013,547199928000
Serbia2013,546235810932
New Zealand1990,546228410928
New Zealand1988,545916908208
Singapore1991,545693314032
Croatia2005,544996302024
Puerto Rico1996,544090020000
Belarus2007,543328797768
Ukraine1996,534696933924
Qatar2005,534365934060
Bulgaria2007,532937718684
Serbia2014,530529676392
New Zealand1989,530046753864
Turkmenistan2014,522290526312
Lithuania2011,521722480956
Hungary1994,517924705488
Kazakhstan2004,517819764036
Thailand1986,517160953464
Slovenia2015,516868980204
Lithuania2012,514178343072
Croatia2016,513385248310
New Zealand1991,513072248484
Puerto Rico1995,511767972000
Cuba2005,511726032900
Serbia2009,511399839600
Luxembourg2006,508971697404
Ukraine2002,508714752372
Costa Rica2011,507152374080
Romania1989,505263157896
Romania1998,503712032448
Ukraine1998,502598897664
New Zealand1992,499632071460
Croatia2004,498894369792
Lithuania2015,498103310796
Ecuador2005,498085020000
Guatemala2010,496063144572
Colombia1991,494874616536
Israel1987,491357092440
Serbia2012,488907766332
Romania2001,488602043976
Czech Republic1993,487372202364
Czech Republic1990,485728838640
Panama2012,485156812800
New Zealand1987,484063138344
Serbia2007,483474679872
Uruguay2010,483413779824
Colombia1990,483290455140
Hungary1993,481428879912
Lithuania2007,476858160924
Puerto Rico1994,476287560000
Slovenia2006,475052784348
Colombia1989,474480962400
Serbia2010,473524292772
Uzbekistan2010,471993251148
Ireland1989,471424621056
Colombia1988,470550600600
Turkmenistan2013,470370526320
Guatemala2008,469642720140
Romania1990,467945454540
Thailand1985,466808312544
Portugal1986,464996588664
Hungary1992,464699344416
Cuba2004,458436000000
Kuwait2002,457650542940
Ukraine2001,456112134924
Chile1991,454017524760
Ireland1988,453817611036
Guatemala2009,452807939712
Kuwait2000,452542372884
Romania1995,451944909000
Lithuania2009,449288081736
Romania2000,449262333600
Luxembourg2005,448168735236
Costa Rica2010,447223623444
Romania1996,446195264352
Serbia2015,445923989580
Lithuania2010,445446212328
Puerto Rico1993,443069472000
Ecuador2004,439099932000
Colombia1987,436479685020
Slovenia2005,436163688096
Romania1999,434196047736
Singapore1990,433824334716
Cuba2003,430814400000
Romania1997,430063058040
Turkmenistan2015,429595542852
Lithuania2016,427730298350
Latvia2008,427152199968
Turkmenistan2012,421970526312
Slovakia2002,421003297572
Colombia1986,419309876208
Colombia1985,418732936224
Kuwait2001,418689272904
Hungary1991,416982099984
Panama2011,416234691600
Luxembourg2004,416223382176
Croatia2003,415897361964
Puerto Rico1992,415565160000
Czech Republic1992,415080633744
Slovenia2004,413642729448
Bulgaria2006,409561469892
Guatemala2007,409357285032
Israel1986,409002386340
Ireland1987,407533707864
Uzbekistan2009,404270684076
Cuba2002,403086000000
Bahrain2014,400652553192
Chile1990,397366653816
Azerbaijan2007,396604125396
Bahrain2013,390474574464
Ecuador2003,389194296000
Puerto Rico1991,387444372000
Qatar2004,380808791208
Cuba2001,380188800000
Uruguay2009,379930935324
Ukraine1999,378967668540
Kuwait1996,377927851704
Latvia2014,376020165024
Ukraine2000,375138328356
Latvia2007,370816791132
Paraguay2014,370574002224
Kazakhstan2003,370004396436
Bahrain2012,368991702132
Slovakia2001,368436209400
Costa Rica2008,367355194512
Serbia2006,367295902344
New Zealand1986,367256020284
Puerto Rico1990,367247028000
Cuba2000,366784800000
Costa Rica2009,366748333476
Cuba1995,365157643812
Singapore1989,365082886104
Slovakia1999,364981150644
Uruguay2008,364394557428
Kuwait1997,364253214636
Latvia2013,363056127564
Guatemala2006,362774992344
Lithuania2006,362592722796
Kuwait1999,361462553220
Romania1994,360893285796
Chile1989,358628221716
Slovakia1998,357946790472
Slovenia2003,356369377296
Czech Republic1991,356106027240
Bulgaria2005,355639413000
Luxembourg2003,354687900672
Panama2010,353283451200
Turkmenistan2011,350799999996
Slovakia2000,349378507464
Romania1991,347984210532
Paraguay2013,347590878024
Bahrain2011,345319148940
Ireland1986,344987525652
Ecuador2002,342587340000
Cuba1994,341379921084
Cuba1999,340375382904
Sri Lanka2006,339208926516
Latvia2011,338682633900
Ecuador1997,337944636324
Puerto Rico1989,337934400000
Latvia2012,337439952636
Bulgaria1987,337212000000
Ecuador1998,335782763376
Trinidad and Tobago2008,334443094728
Cyprus2008,334073531568
Slovakia1996,333862965780
Slovakia1997,331921794492
Israel1985,329923097808
Cyprus2011,329125938276
Guatemala2005,326536526700
Kuwait1995,326300268096
Portugal1985,325421714088
Panama2009,325399627200
Latvia2015,323674360728
Kazakhstan1990,323192746788
Croatia2002,322541990472
Costa Rica2007,320926490472
Puerto Rico1988,316629600000
Romania1993,316354736844
Serbia2005,315024093960
Estonia2014,314695469412
Latvia2009,314038248540
Lithuania2005,313506911304
Chile1988,312482757516
Bulgaria2004,311495651064
Cyprus2009,311311475412
Kuwait1998,311303153544
Cuba1998,308835974964
Slovakia1995,308796517644
Bahrain2010,308559255324
Bahrain2008,308530531920
Cyprus2010,306747019872
Trinidad and Tobago2011,305196136860
Croatia1998,305185732872
Uruguay1998,304631138376
Cuba1997,304394400000
Singapore1988,304046723652
Ecuador1996,302716718364
Panama2008,301870663200
Estonia2013,301645837788
Romania1992,301460000004
Paraguay2011,301196177532
Cyprus2012,300496466664
Cuba1996,300207600000
New Zealand1985,299410741692
Kazakhstan1992,298883274720
Kazakhstan1991,298573627032
Serbia2004,298337799372
Kuwait1994,298181806056
Kazakhstan2002,295639118676
Paraguay2012,295143834888
Ecuador2001,293619888000
Ecuador1995,293194613304
Estonia2008,290328471072
Cyprus2013,289014869892
Cyprus2007,288929646864
Puerto Rico1987,288309600000
Uruguay1999,287807342292
Uruguay1997,287637876120
Guatemala2004,287583311952
Kuwait1993,287296696692
Croatia1997,285865044636
Latvia2010,285088419480
Croatia1996,284136152364
Luxembourg2002,283395945792
Slovenia2002,282762921096
Uruguay2007,280926871608
Kazakhstan1993,280908329712
Croatia1999,280643347164
Cyprus2014,280311529788
Croatia2001,279476053224
Estonia2011,278042878812
Estonia2012,276526374120
Bahrain2009,275258617020
Uruguay2000,273879069624
Ecuador1994,272504080044
Slovenia1999,272279939880
Lithuania2004,271799166912
Costa Rica2006,271205182536
El Salvador2014,271030094400
Turkmenistan2010,270997894740
Estonia2015,270803483784
Bulgaria1988,270671294112
Croatia1995,268650742140
Cuba1993,268407058380
Kuwait1987,268388813784
Chile1987,267064892220
Estonia2007,266844740760
Luxembourg1999,266831148516
Kazakhstan1997,265991184756
Trinidad and Tobago2010,265895380752
Kazakhstan2001,265832329944
Kazakhstan1998,265622944956
Slovenia1998,265505224464
Cuba1992,265030298916
Puerto Rico1986,264111600000
Bulgaria1989,263861333328
El Salvador2013,263728822800
Guatemala2003,263012477892
Luxembourg1996,261319317264
Croatia2000,261291285984
Bahrain2007,260760000000
Belarus1990,259800000000
Trinidad and Tobago2007,259707648552
Luxembourg1995,259058045976
Slovenia1996,257760276204
Latvia2006,257364258840
Kuwait1985,257311436172
El Salvador2012,256633836000
Iceland2007,255839360880
Panama2007,255551810400
Ireland1985,255545836596
Slovenia1995,255276664776
Luxembourg2001,255269025504
Luxembourg2000,255162177996
Kazakhstan1994,255010071096
Serbia2003,254264448972
Kazakhstan1996,252424293996
Bulgaria2003,251792231772
Uruguay2001,250785461004
Singapore1987,250771562412
Slovenia2001,250504644816
Guatemala2002,249320033604
Slovenia1997,248989687272
Bulgaria1990,247585090908
Uruguay1996,246186516468
Cyprus2006,244844561532
Kazakhstan1995,244491684564
Slovenia2000,244106416272
Puerto Rico1985,243470400000
El Salvador2011,243405404400
Bulgaria1986,242991529416
Turkmenistan2009,242572631580
Luxembourg1998,242509464324
Slovakia1994,240952363512
Paraguay2010,240366336516
Costa Rica2005,239425877700
Luxembourg1997,236782949928
Cyprus2015,236114006880
Estonia2009,235829911644
Ecuador1999,235743271632
Uruguay2006,234953495592
Estonia2010,233891236188
Guatemala1998,232745903916
Uruguay1995,231571957164
Guatemala2000,231465925908
Turkmenistan2008,231258278148
Trinidad and Tobago2009,230102357352
Singapore1985,229659556512
Ecuador1993,227264608308
Chile1986,226692585828
Sri Lanka2003,226581185244
Lithuania2003,225630923856
Cyprus2005,224437756500
Guatemala2001,224433628740
Bosnia and Herzegovina2011,223736686332
Singapore1986,222831507660
Bosnia and Herzegovina2014,222700122096
Costa Rica2004,222357215208
Bahrain2006,222060638292
Paraguay2008,222049569036
El Salvador2010,221375068800
Serbia1999,220912369764
Trinidad and Tobago2006,220428841020
Ecuador2000,219933178584
Luxembourg1994,219909496980
Guatemala1999,219820947012
Kazakhstan2000,219503887428
Serbia1998,219410336160
Panama2006,217699995600
Ecuador1992,217130857428
Belarus1991,216000000000
El Salvador2008,215842634400
Kuwait1986,214844180316
Belarus2003,213933495852
Guatemala1997,213480314664
Chile1985,212434624728
Iceland2008,211900905108
El Salvador2009,211219392000
Qatar2001,210461538456
Uruguay1994,209695773504
Cyprus2004,209068500000
Uruguay2005,208354292208
Iceland2014,207648396252
Costa Rica2003,206350410480
Bulgaria1985,205865052636
Ecuador1985,205789135080
Uzbekistan1999,204941591784
Iceland2006,204583770816
Belarus1992,204444444444
El Salvador2007,204141010800
Ecuador1991,203862423216
Estonia2006,203563500192
Iceland2015,203306968488
Latvia2005,203070048540
Iceland2016,203040981010
Kazakhstan1999,202449805620
Cyprus2016,201538716810
Iceland2005,200297881368
Sri Lanka2002,198438427764
Georgia2014,198111669936
Costa Rica2002,198057545436
Luxembourg1993,197842802244
Slovakia1993,197426413212
Panama2005,196492726800
Sri Lanka2000,195969770160
Belarus1993,195371900832
Bulgaria2002,195317477136
Georgia2013,193680564144
Serbia2002,193402117752
Luxembourg1992,192788889336
El Salvador2006,191998636800
Trinidad and Tobago2005,191787389544
Bahrain2005,191624722344
Paraguay2009,191158825656
Costa Rica2001,190960360020
Georgia2012,190157695152
Sri Lanka1998,189539674164
Sri Lanka2001,188997045660
Guatemala1996,188098027380
Sri Lanka1999,187875934320
Iceland2013,186579858528
Slovakia1992,185175456072
Ecuador1986,183769727856
Ecuador1990,182871337200
Belarus1998,182664151920
Sri Lanka1997,181102966608
Panama2004,180160580400
Uruguay1993,180025278216
Uzbekistan1998,179867654532
Costa Rica2000,179394175020
Belarus1994,179184290028
Belarus1996,177082153848
Uzbekistan1997,176935245288
Iceland2011,176792274420
El Salvador2005,176376016800
Guatemala1995,175864853196
Bulgaria1998,175571915472
Belarus2002,175130988276
Jamaica2011,173278924236
Georgia2011,173215439784
Latvia2004,172479229872
Luxembourg1991,171862545540
Uzbekistan2005,171690118068
Iceland2012,171504104940
Lithuania2002,171340287408
Costa Rica1999,170347481100
Belarus1997,169540902792
Bulgaria2001,168907401468
Estonia2005,168073059564
Georgia2015,167922560784
Belarus1995,167672122092
Uzbekistan1996,167386706592
Ecuador1987,167345182584
Sri Lanka1996,166772860500
Ecuador1989,166689944496
Paraguay2007,165538927608
Uzbekistan2000,165124493856
El Salvador2004,164697730800
Iceland2004,164673891012
Panama2003,164327774400
Uruguay2004,164235958680
Uzbekistan1991,164131466664
Costa Rica1998,163408865040
Uruguay2002,163277935188
Bulgaria1999,161940904392
Uzbekistan1990,160327295016
Uzbekistan1995,160205627004
Iceland2010,159726813636
Trinidad and Tobago2004,159363301476
El Salvador2003,158926706400
Luxembourg1990,158750975376
Jamaica2010,158299748232
Bulgaria2000,157836198372
Bahrain2004,157802001060
Uzbekistan1993,157188166032
Bulgaria1995,156761071428
Ecuador1988,156622638624
Panama2002,155931724800
Guatemala1994,155798826816
Iceland2009,155329376832
Uzbekistan1992,155295568512
Uzbekistan1994,154789883892
Albania2008,154576232256
Mauritius2014,153641351208
Belarus2000,152842281936
El Salvador2002,151970283600
Turkmenistan2007,151969981236
Nicaragua2015,151333044372
Costa Rica1997,150624856404
Panama2001,150024160800
Belarus2001,148257841728
Panama2000,147649380000
El Salvador2001,147390403200
Serbia2001,147206105772
Lithuania2001,147029987052
Belarus1999,145661838384
Panama1999,145563026400
Mauritius2013,145555707552
Estonia2004,144710414904
Uruguay2003,144547573116
Albania2009,144530554848
Jamaica2009,144465950952
Uzbekistan2004,144360282576
Albania2010,143123439108
Jamaica2006,142866302364
Nicaragua2014,142565265888
El Salvador2000,141419132400
Latvia2003,140981197884
Mauritius2015,140307444792
Mauritius2012,140024226288
Armenia2008,139944488568
Georgia2010,139662442008
Costa Rica1996,139419438636
Armenia2014,139314155280
Panama1998,138905836800
Lithuania2000,138470537760
Mauritius2011,138220720404
Costa Rica1995,138161672328
Uzbekistan2001,136816217040
Guatemala1993,136799309436
Iceland2003,135797299920
Trinidad and Tobago2003,135665517624
El Salvador1999,135410364000
Lithuania1998,134884330776
Malta2014,134808544512
Jamaica2005,134452992000
Bulgaria1997,134347345260
Armenia2013,133457589204
Bahrain2003,132897864888
Nicaragua2013,131795667072
Lithuania1999,131674543632
Bulgaria1991,131322580644
El Salvador1998,131240038800
Bulgaria1993,129956521740
Georgia2009,129201709188
Bahamas2012,128646000000
Albania2007,128412142764
Panama1997,128127433200
Paraguay2006,127753895040
Bahamas2013,127531200000
Armenia2012,127431840588
Bahamas2007,127420080000
Cyprus1999,127373462784
Malta2015,126888322056
Armenia2015,126640052076
Nicaragua2012,126384013560
Bahamas2008,126312000000
Guatemala1992,125290105980
Costa Rica1994,125191432680
Luxembourg1989,124698056508
Bulgaria1992,124206185568
Turkmenistan2006,123331177824
El Salvador1997,122660470800
Mauritius2016,122324636560
Cyprus2000,122199811500
Georgia2007,122074436160
Bahamas2006,122007000000
Jamaica2004,121811737860
Malta2013,121741370160
Armenia2011,121705336008
Uzbekistan2003,121537348812
Lithuania1997,121443293916
Bulgaria1996,121315345704
Bahamas2010,121149120000
Bahamas2011,120845400000
Mauritius2010,120044048280
Mauritius2008,119884440192
Bahamas2009,119783520000
Paraguay1997,119582705964
Panama1996,118445928000
Bahamas2005,118034400000
Estonia2003,118006448508
Paraguay1996,117460700796
Nicaragua2011,117291800304
Luxembourg1988,117001932636
Bulgaria1994,116369003688
Jamaica2002,116330037084
Uzbekistan2002,116255412660
Bahrain2002,115585860636
El Salvador1996,115035933600
Latvia2002,114557298768
Costa Rica1993,114447570084
Malta2011,114091743120
Guatemala1991,112873172820
Jamaica2003,112793371308
Mongolia2016,111834581310
Uruguay1990,111586075860
Armenia2010,111123419256
Malta2012,110514711552
Iceland2002,110492278992
Armenia2007,110475620400
Jamaica2001,110136197916
Mauritius2009,109546117308
Bahrain2000,108754882980
Paraguay1995,108745575696
Bahamas2004,108663480000
Paraguay1998,108294809808
Trinidad and Tobago2002,108099284652
Albania2006,107911708188
Jamaica2000,107824233984
Malta2008,107725794636
Bahrain2001,107714492556
Iceland2000,107125685256
El Salvador1995,107063365200
Iceland1999,107007432432
Bahamas2002,106573920000
Bahamas2003,106441080000
Azerbaijan1990,106296072432
Trinidad and Tobago2001,105898479108
Azerbaijan1991,105508389732
Armenia2016,105461351600
Nicaragua2010,105103467948
Malta2010,104892715236
Paraguay2005,104815845708
Azerbaijan2004,104165666028
Armenia2009,103775240976
Luxembourg1987,103370586708
Costa Rica1992,102343117008
Malta2009,102338427336
Iceland1998,101444450544
Uruguay1989,101267417712
Guatemala1989,100928692332
Paraguay1999,100710596424
Lithuania1996,100621308240
Latvia2001,100203035592
Bahamas2001,99813960000
Uruguay1988,98562185508
Paraguay2000,98351918772
Albania2005,97902584604
Trinidad and Tobago2000,97852058796
Mauritius2007,97801665084
Qatar1995,97654943736
Iceland2001,97636141728
Turkmenistan2005,97252268604
Bahamas2000,96917640000
Paraguay2004,96406528320
Latvia2000,95253107760
Malta2007,94566110052
Paraguay1994,94451786052
Lithuania1995,94449387132
Guatemala1988,94099233888
Georgia1990,93042022416
Georgia2006,92944874412
Bahamas1999,92206440000
Paraguay2001,91951140912
Guatemala1990,91801502604
Iceland1997,90586945260
Latvia1999,90398251260
Kyrgyzstan2014,89617158804
Costa Rica1990,88841487828
Trinidad and Tobago1985,88511020404
Uruguay1987,88409928960
Kyrgyzstan2013,88020331104
Iceland1996,87971582868
Estonia2002,87864834132
Albania2004,87778382112
Azerbaijan2003,87312156384
Guatemala1986,86783562192
Latvia1998,86099821284
Costa Rica1991,86027993136
Guatemala1987,85012798080
Mauritius2006,84345640392
Iceland1995,84217201836
Paraguay1991,83812413156
Iceland1992,83712963972
Luxembourg1986,83055169584
Costa Rica1989,82396824336
Turkmenistan2004,82060213056
Bahamas1998,81998640000
Panama1987,81931983600
Trinidad and Tobago1999,81707790252
Iceland1991,81688390776
Panama1986,81574010400
Malta2006,81085434696
El Salvador1993,80163230400
Kyrgyzstan2015,80138140080
Bahrain1999,79452124464
Kyrgyzstan2012,79261679196
Paraguay2003,79057246032
Panama1985,78498205200
Serbia2000,78482966280
Latvia1997,78308115168
Georgia2005,76930231152
Sri Lanka1986,76862526768
Malta2005,76738216644
Mauritius2004,76628342244
Armenia2006,76613419272
Iceland1990,76474860876
Georgia1991,76291390728
Bahrain1997,76190428728
Bahamas1997,75988320000
Paraguay2002,75901821120
Iceland1994,75537641964
Mauritius2005,75405639072
Macau1994,75190131024
Estonia2001,74940836808
Azerbaijan2002,74829541248
Kyrgyzstan2011,74373193428
Bahrain1998,74205319152
Iceland1993,73517474100
Costa Rica1988,72765112452
Malta2004,72753363228
Trinidad and Tobago1998,72524331960
Iceland1988,72194026752
Sri Lanka1985,71741531664
Turkmenistan2003,71730730524
Latvia1996,71640535992
Panama1989,71021637600
Panama1988,70833400800
Uruguay1986,70561353456
Costa Rica1987,70093595544
El Salvador1992,69760791600
Latvia1995,69460422132
Trinidad and Tobago1996,69114452712
Albania2003,68963350956
Trinidad and Tobago1997,68853015984
Estonia1999,68722775976
Azerbaijan2001,68492644692
Paraguay1990,68342418756
Estonia2000,68229297708
Estonia1998,67405310940
Mauritius2003,67317975936
Iceland1989,67062396084
Costa Rica1986,65734745700
Malta2003,65479003068
Trinidad and Tobago1992,65274635292
Iceland1987,65262449784
Trinidad and Tobago1995,63950569956
Trinidad and Tobago1991,63694870584
Azerbaijan2000,63271406352
El Salvador1991,63028108800
Suriname2014,62887272732
Suriname2013,61749090912
Kyrgyzstan2008,61679493420
Georgia2004,61504356012
Trinidad and Tobago1990,60816000000
Estonia1997,60794885028
Azerbaijan1992,59896205496
Suriname2012,59760000000
Trinidad and Tobago1994,59366470320
El Salvador1990,57810506448
Trinidad and Tobago1987,57573333336
Costa Rica1985,57559541532
Trinidad and Tobago1986,57533333328
Kyrgyzstan2010,57532293540
Mauritius2002,57207637848
Estonia1996,56953317204
Luxembourg1985,56862716220
Uruguay1985,56784214476
Kyrgyzstan2009,56280747060
Malta2002,56277992280
Trinidad and Tobago1993,56033862192
Barbados2011,55930800000
Barbados2012,55876200000
Barbados2013,55350000000
Barbados2008,55287600000
Paraguay1989,55199647416
Jamaica1990,55106688804
Mauritius2000,54990661500
Azerbaijan1999,54974669304
Montenegro2008,54548094336
Mauritius2001,54438458532
Barbados2007,54285000000
Trinidad and Tobago1988,53962224876
Turkmenistan2002,53543741988
Barbados2010,53539800000
Azerbaijan1998,53356754616
Albania2002,53220943776
Barbados2009,53208600000
Suriname2011,53067319464
Mauritius1996,53063326920
Jamaica1989,52859640708
Estonia1995,52483981752
Suriname2010,52420776576
Malta2001,51982447776
Trinidad and Tobago1989,51876705888
Malta2000,51674309232
Mauritius1999,51494073792
Barbados2006,50959200000
Mauritius1997,50248411224
Mauritius1998,50035971420
Montenegro2009,49911964440
Malta1999,49527765816
Jamaica1991,48854630376
Albania2001,48729105648
Mauritius1995,48484151196
Azerbaijan1993,47676328764
Fiji2012,47664150852
Azerbaijan1997,47552521956
Iceland1986,47166220392
Malta1998,47083655652
Barbados2005,46767600000
Suriname2009,46504918032
Jamaica1988,45939728820
Kyrgyzstan2007,45630794052
Paraguay1987,45339796560
Fiji2011,45294367392
Malta1997,44464464468
Bahrain1988,44428723404
Georgia1992,44283947568
Montenegro2007,44168524500
Bahrain1985,43822340424
Albania2000,43584526896
Georgia1998,43362001404
Bahamas1996,43308000000
Malta1996,42843258696
Mauritius1994,42697644480
Turkmenistan2001,42417647064
Suriname2008,42395628420
Fiji2008,42278231040
Barbados2004,42172200000
Georgia1997,42126489708
Malta1995,41279182884
Paraguay1986,41276598744
Bahamas1995,41148000000
Albania1999,40977130980
Fiji2007,40860607344
Bahrain1987,40704252132
Albania1996,39778779504
Azerbaijan1994,39764876088
Jamaica1987,39443850624
Barbados2003,39298200000
Mauritius1993,39160420920
Bahamas1994,39108000000
Mauritius1992,38691210576
Georgia2001,38633852964
Turkmenistan1991,38497187028
Turkmenistan1992,38406477792
Turkmenistan1990,38274475692
Turkmenistan1993,38150711388
Azerbaijan1996,38120995116
Barbados2002,38035200000
Barbados2000,37458000000
Barbados2001,37399800000
Fiji2006,37232897412
Georgia1996,37138986072
Bahamas1993,37104000000
Georgia2000,36689441796
Azerbaijan1995,36629610264
Malta1992,36262922604
Turkmenistan1988,36131788968
Turkmenistan1989,36083858604
Fiji2005,36080700180
Malta1994,35982841764
Guyana2013,35880078408
Paraguay1985,35594809272
Iceland1985,35278140456
Suriname2007,35239344264
Turkmenistan2000,34855951260
Fiji2009,34447495632
Guyana2012,34338747192
Mauritius1991,34282688172
Kyrgyzstan2006,34010026668
Armenia2003,33684732108
Georgia1999,33600291768
Aruba2008,33503530728
Maldives2011,33292221120
Jamaica1986,33054794112
Malta1991,33000497208
Fiji2004,32730086556
Montenegro2006,32662852836
Bahamas1987,32567998800
Malta1993,32510139924
Albania1998,32485485264
Georgia1995,32324782392
Kyrgyzstan1990,32088000000
Mauritius1990,31841760012
Suriname2006,31516565220
Aruba2007,31484715084
Turkmenistan1998,31268256780
Maldives2010,31058112660
Aruba2011,31013564244
Guyana2011,30912289392
Kyrgyzstan1991,30849999996
Turkmenistan1994,30733423296
Malta1990,30565962984
Georgia1994,30166447044
Aruba2009,29987195532
Turkmenistan1995,29786741280
Aruba2010,29612446932
Kyrgyzstan2005,29522976312
Turkmenistan1999,29408239920
Turkmenistan1997,29401019640
Albania1995,29093988108
Aruba2006,29057698320
Turkmenistan1996,28551381216
Armenia2002,28516020576
Albania1997,28318837296
Albania1989,28021499856
Turkmenistan1987,27976305840
Aruba2005,27972067044
Bahamas1985,27848398800
Kyrgyzstan1992,27798750000
Fiji2003,27791229036
Guyana2010,27278700504
Maldives2008,27259754256
Barbados1995,27143638440
Montenegro2005,27086093772
Armenia1990,27082066296
Aruba2004,26739351960
Kyrgyzstan2004,26538423744
Mauritius1989,26293162320
Albania1987,25879498800
Barbados1994,25815542184
Mauritius1988,25721813856
Albania1988,25512000000
Malta1989,25422897264
Armenia2001,25421614956
Jamaica1985,25202677800
Montenegro2004,24878813016
Armenia1991,24822318264
Guyana2009,24735886248
Barbados1993,24554268384
Kyrgyzstan1993,24339545460
Barbados1990,24279819024
Aruba2003,24255620112
Malta1988,24233690928
Barbados1989,24188772348
Barbados1991,24085317948
Albania1994,23828085576
San Marino2005,23504539236
Barbados1992,23410800000
Aruba2002,23293139664
Guyana2008,23071177452
Aruba2001,23043150840
Kyrgyzstan2003,23028153372
Armenia2000,22938763980
Armenia1998,22724717244
Mauritius1987,22665055860
Aruba2000,22481430168
Maldives2007,22420601532
Cabo Verde2011,22377888972
Armenia1999,22145786172
Fiji2002,22112297772
Kyrgyzstan1996,21930847032
Barbados1988,21873787128
Suriname2005,21525057660
Belize2015,21342811200
Kyrgyzstan1997,21214368432
Malta1987,21014973156
Guyana2007,20884017384
Aruba1999,20673586596
Barbados1987,20565255852
Montenegro2003,20492520636
Belize2014,20447412600
Kyrgyzstan1994,20172083916
Kyrgyzstan1995,19932222228
Fiji2001,19921228152
Kyrgyzstan1998,19751565000
Armenia1997,19673909088
Belize2013,19350886200
Kyrgyzstan2002,19267687596
Armenia1996,19163626956
Belize2012,18884043000
Barbados1986,18675860904
Saint Lucia2014,18623052444
Kyrgyzstan2001,18301346904
Saint Lucia2013,17879146668
Belize2011,17844067200
Suriname2004,17809110456
Mauritius1986,17628553380
Armenia1995,17619808200
Guyana2006,17501393436
Saint Lucia2011,17252217780
Saint Lucia2012,17241639996
Malta1986,17220950400
Barbados1985,17010906600
Belize2010,16765361400
Saint Lucia2010,16583619108
Seychelles2015,16507251348
Kyrgyzstan2000,16436318052
Belize2008,16423501800
Antigua and Barbuda2008,16421172444
Antigua and Barbuda2015,16378356444
Seychelles2014,16115967672
Belize2009,16043487000
Seychelles2013,15937098288
Aruba1995,15848044692
Armenia1994,15781904040
Antigua and Barbuda2007,15736815996
Belize2007,15486880800
Montenegro2002,15416220612
Saint Lucia2008,15386584884
Antigua and Barbuda2014,15361599996
Armenia1992,15270929472
Suriname2003,15254352936
Saint Lucia2009,15155680884
Kyrgyzstan1999,14988744300
Albania1993,14736852456
Maldives2004,14721954756
Antigua and Barbuda2009,14691036000
Belize2006,14609611200
San Marino1999,14587683780
Antigua and Barbuda2012,14536940448
Armenia1993,14415758412
Antigua and Barbuda2013,14315104884
Maldives2005,13960349256
Suriname1988,13930800000
Montenegro2001,13918430952
Antigua and Barbuda2006,13884065328
Saint Lucia2006,13610323560
Malta1985,13414023432
Belize2005,13370670600
San Marino2000,13222775016
Mauritius1985,12967704396
Suriname2002,12940825536
Seychelles2011,12789920040
Seychelles2012,12713986608
Belize2004,12694146000
